goal,Tier I,Tier I (provisional),Tier II,Tier I/II depending on indice,Tier I (ODA)/Tier II (FDI),Tier I (ODA) (provisional)
1,0.23076923076923078,0.07692307692307693,0.6923076923076923,,,
2,0.5714285714285714,0.07142857142857142,0.35714285714285715,,,
3,0.8928571428571429,,0.10714285714285714,,,
4,0.25,0.08333333333333333,0.5833333333333334,0.08333333333333333,,
5,0.2857142857142857,,0.7142857142857143,,,
6,0.6363636363636364,,0.36363636363636365,,,
7,0.8333333333333334,0.16666666666666666,,,,
8,0.5,,0.5,,,
9,0.8333333333333334,,0.16666666666666666,,,
10,0.2857142857142857,,0.6428571428571429,,0.07142857142857142,
11,0.14285714285714285,0.07142857142857142,0.7857142857142857,,,
12,0.23076923076923078,0.15384615384615385,0.6153846153846154,,,
13,,,1,,,
14,0.5,,0.5,,,
15,0.5714285714285714,0.14285714285714285,0.2857142857142857,,,
16,0.2916666666666667,,0.7083333333333334,,,
17,0.625,,0.3333333333333333,,,0.041666666666666664
