goal,Tier I,Tier II,Tier I/II depending on indice,Tier I (a)/Tier II (b),"Tier I (a)/Tier II (b, c)","Tier I (FDI)/Tier II (ODA, SSC)"
1,0.38461538461538464,0.6153846153846154,,,,
2,0.7142857142857143,0.2857142857142857,,,,
3,0.8928571428571429,0.10714285714285714,,,,
4,0.4166666666666667,0.5,0.08333333333333333,,,
5,0.2857142857142857,0.7142857142857143,,,,
6,0.6363636363636364,0.36363636363636365,,,,
7,1,,,,,
8,0.5,0.5,,,,
9,0.8333333333333334,0.16666666666666666,,,,
10,0.5714285714285714,0.42857142857142855,,,,
11,0.2857142857142857,0.7142857142857143,,,,
12,0.38461538461538464,0.6153846153846154,,,,
13,0.25,0.75,,,,
14,0.5,0.5,,,,
15,0.7857142857142857,0.14285714285714285,,0.07142857142857142,,
16,0.25,0.7083333333333334,,,0.041666666666666664,
17,0.625,0.3333333333333333,,,,0.041666666666666664
