goal,Tier I,Tier II,Tier III,Tier I/II depending on indice,Tier II/III,Tier I (ODA)/Tier II (FDI),Tier I/III
1,0.21428571428571427,0.5714285714285714,0.21428571428571427,,,,
2,0.6153846153846154,0.38461538461538464,,,,,
3,0.9259259259259259,0.07407407407407407,,,,,
4,0.2727272727272727,0.5454545454545454,,0.09090909090909091,0.09090909090909091,,
5,0.2857142857142857,0.7142857142857143,,,,,
6,0.6363636363636364,0.36363636363636365,,,,,
7,0.8333333333333334,,0.16666666666666666,,,,
8,0.47058823529411764,0.47058823529411764,0.058823529411764705,,,,
9,0.8333333333333334,0.16666666666666666,,,,,
10,0.36363636363636365,0.5454545454545454,,,,0.09090909090909091,
11,0.13333333333333333,0.7333333333333333,0.13333333333333333,,,,
12,0.23076923076923078,0.46153846153846156,0.3076923076923077,,,,
13,,0.375,0.625,,,,
14,0.5,0.5,,,,,
15,0.5714285714285714,0.2857142857142857,,,,,0.14285714285714285
16,0.30434782608695654,0.6956521739130435,,,,,
17,0.64,0.2,0.16,,,,
